Complexity,Loss,Equation
1,1.0,"3.941425e-9"
2,0.85491097,"sin(x1)"
3,0.8107217,"x1 * 0.431602"
4,0.8057367,"sin(x1 * 0.5738731)"
5,0.6333507,"(x0 + x1) * 0.4203793"
6,0.6257756,"sin((x0 + x1) * 0.5180357)"
7,0.55585814,"((x0 + x1) - x2) * 0.37846044"
9,0.548696,"(x1 + (x0 + (x2 * -0.62966394))) * 0.45436603"
10,0.48538506,"(((x0 - 0.97124016) + x1) + square(x2)) / 2.9839296"
12,0.485293,"((x0 - sin(1.4965949)) + (x1 + square(x2))) / square(1.7274054)"
14,0.46340746,"(((x0 + x1) * 2.5939388) - (1.3762853 - square(x2))) / (6.790788 - x1)"
15,0.45456058,"((x1 + (x0 - -1.9357764)) * 0.41916654) - sin((x2 - sin(x2)) - -1.2704902)"
19,0.45166096,"(((x1 + (0.10787663 + 0.57113457)) - (-1.3638703 - x0)) * 0.41916654) - sin((x2 - sin(x2)) - -1.2704902)"
25,0.43813422,"((x1 + x0) - (sin(((0.99666345 / x2) / x2) + 1.2793574) + (1.0220615 - square(x2)))) * ((2.0274198 / (7.2752433 - x1)) + 0.047722254)"
26,0.43428653,"((x1 + (x0 - ((sin(square(1.1310868) + ((0.99666345 / x2) / x2)) + 1.0220615) - square(x2)))) * (2.0274198 / (7.2752433 - x1))) * 1.3283489"
