Complexity,Loss,Equation
1,0.8051611,"x0"
2,0.7952582,"sin(x0)"
3,0.64309925,"x0 * 0.60046464"
4,0.6299024,"0.9491877 - square(x0)"
5,0.5601712,"(x0 + x1) * 0.46501565"
6,0.49607787,"square(x0 / 1.678013) * x0"
7,0.49179003,"x0 - sin(square(x0) * x0)"
8,0.45430067,"(x1 + (x0 * square(x0))) * 0.43818474"
9,0.3796212,"((x0 * (x0 * x0)) + x1) / 3.0039155"
11,0.37615874,"(sin(x1) + sin((x0 * 1.4011394) - -2.5428517)) + x0"
12,0.35690084,"sin((x0 * x0) - -1.0805384) + ((x1 / 3.0039155) + -0.6298975)"
14,0.32145154,"sin((x0 * x0) - -1.1417661) + (((x1 + x0) / 3.0039155) + -0.6133913)"
16,0.30909437,"sin((x0 * x0) - -1.1417661) + (((x1 - (x0 / -1.4077625)) / 3.0039155) + -0.6133913)"
18,0.30868834,"(sin((x0 * x0) - -1.1417661) + (((x1 - (x0 / -1.4077625)) / 3.0039155) + -0.6133913)) + -0.020855032"
19,0.2938613,"sin((x0 * x0) - -0.9773511) + (sin((((x1 - x0) * -0.30443448) - -0.2994952) + x1) + -0.9093946)"
20,0.28613478,"(sin(sin(((-0.30443448 * (x1 - x0)) - -0.2994952) + x1)) + sin((x0 * x0) - -0.9773511)) + -0.9093946"
