Complexity,Loss,Equation
1,1.0,"0.0001632276"
2,0.7037629,"sin(x0)"
3,0.6865352,"sin(sin(x0))"
4,0.6759077,"sin(x0) * 0.7661646"
5,0.6004247,"sin(x0 + sin(x1))"
6,0.5773321,"sin(x0 - (x1 * -0.52618647))"
7,0.57591724,"sin(x0 + sin(x1 * 0.68072957))"
8,0.572282,"sin(x0 + ((x1 * 0.5021644) - 0.07569894))"
9,0.5707763,"sin(x0 + sin((x1 * 0.68072957) - 0.13215078))"
11,0.49633494,"sin((x1 + (1.44413 - square(0.8666958 - x0))) * 0.462821)"
12,0.49560896,"sin(((1.44413 - square(x0 - 0.8666958)) + x1) * sin(0.462821))"
13,0.49314266,"sin(((x0 + (x1 - -0.6494128)) - square(0.43475705 - x0)) * 0.43000036)"
15,0.48498678,"sin(((x0 + (x1 - -1.2015238)) - square(0.56358445 - x0)) * 0.43761835) - 0.15505427"
24,0.4774821,"sin((((0.34874505 - (x0 / -0.5323164)) - (x0 * -0.4374069)) + ((x1 - sin(x0)) - square(x0 - 0.0044912696))) * -0.4374069) * -1.5034325"
