Complexity,Loss,Equation
1,1.0,"2.104086e-6"
2,0.688366,"sin(x1)"
4,0.55433774,"sin(x1 + x0)"
5,0.44989687,"(x1 + x0) * 0.51975805"
6,0.42074347,"sin((x0 + x1) * 0.65243804)"
8,0.39535126,"sin((x0 + x1) * -0.56587756) * -1.295164"
10,0.38860187,"sin(sin(x1) + sin(x0 + (0.6709596 * x1)))"
11,0.37173462,"sin((x0 + (x1 - sin(x1 / -0.62810534))) * 0.6464954)"
12,0.36819667,"sin(((x1 - sin(sin(x1 / -0.62810534))) + x0) * 0.6659297)"
13,0.35366514,"sin(((x0 + x1) - sin(x1 * -1.3843534)) * 0.5433663) * 1.23482"
15,0.3469441,"sin((((x0 - 0.14463486) + x1) - sin(x1 * -1.4886892)) * 0.61343914) * 1.23482"
16,0.34640244,"1.23482 * sin((((x0 - 0.14463486) + x1) - sin(x1 * -1.4886892)) * sin(0.61343914))"
17,0.33166957,"sin(((x1 - sin((x1 * (x2 + x1)) - x1)) + x0) * 0.6273272) * 1.3271027"
19,0.32094213,"sin(sin(((x0 + x1) * 0.63669235) - sin(x1 * x2)) - sin(x1 * -0.9188625)) * 1.2207866"
21,0.3195196,"sin(sin((0.5433663 * (x0 + x1)) - sin(x1 * x2)) - sin(0.49778995 * (-1.3843534 * x1))) * 1.23482"
22,0.31929904,"sin(sin((0.5433663 * (x0 + x1)) - sin(sin(x1 * x2))) - sin((0.49778995 * -1.3843534) * x1)) * 1.23482"
23,0.3184755,"(sin(sin((0.5433663 * (x0 + x1)) - sin(x1 * x2)) - sin(0.49778995 * (-1.3843534 * x1))) * 1.3796694) - 0.053632617"
