Complexity,Loss,Equation
1,1.0,"4.7746516e-7"
2,0.75166476,"sin(x1)"
3,0.7238019,"x1 / 1.9185523"
4,0.712774,"sin(x1 * 0.71322376)"
5,0.60583484,"(x1 + x0) / 2.316811"
6,0.59711945,"(x1 + sin(x0)) * 0.5109497"
7,0.51480246,"((x1 + x0) - x2) / 2.5673697"
9,0.50517803,"(x1 + ((x0 - x2) / 1.3695028)) * 0.48867938"
10,0.4851586,"(((x0 + x1) - x2) + sin(x2)) * 0.41531605"
12,0.41414323,"(sin(x1) + 1.2661963) * (((x0 - x2) + x1) * 0.30069345)"
14,0.40610117,"(((sin(x1) + 0.9298964) * 0.450415) * (x1 + (x0 - x2))) + -0.09018059"
15,0.40276006,"(((sin(x1) + 1.6209768) * ((x1 + x0) - x2)) + sin(x1)) * 0.21928024"
16,0.39960927,"(((x0 + ((x1 - x2) + x1)) * (sin(x1) + 1.1290996)) - 0.670785) * 0.21928024"
17,0.3769397,"((sin(x1) + 1.6209768) * 0.21928024) * (((x0 - x2) + x1) + sin(x1 - 0.65411544))"
18,0.35843182,"((((((x0 + 0.27350053) - x2) + 0.7180765) + x1) * (sin(x1) + 0.63606805)) - 1.1095805) * 0.4646117"
