Complexity,Loss,Equation
1,1.0,"1.0789766e-7"
3,0.47173768,"x1 * -0.72833383"
5,0.46952054,"(-0.289524 * x0) - x1"
6,0.43290216,"sin(x2 * x1) - x1"
7,0.3933272,"(-0.289524 * x0) - (x1 * 0.7565215)"
8,0.37837756,"sin(x1 * -0.59361047) * (1.7537683 - x2)"
9,0.32647517,"square(square(x0 * -0.569914)) - (x1 * 0.6958511)"
10,0.30727497,"(((square(x0) * 0.6350928) - x1) * 0.6726201) + -0.43006742"
11,0.27720925,"square(square(x0 * 0.61034936)) + ((-0.34863257 - x1) * 0.7540261)"
12,0.26752603,"square(square(x0 * 0.5615868)) + ((x2 - 1.5857651) * sin(x1))"
13,0.23904297,"square(square(x0 * 0.5615868)) + ((x2 - 1.5857651) * sin(sin(x1)))"
14,0.20654586,"square(square(0.5649345 * x0)) + (((sin(x1) * x2) - x1) * 0.7979373)"
15,0.19245031,"(square(square(square(x0 * 0.5726207))) + ((sin(x1) * x2) - x1)) * 0.7242701"
16,0.18690118,"(((sin(sin(x1)) * x2) - x1) * 0.7979373) + square(square(square(0.5649345 * x0)))"
17,0.17547698,"(square(square(square(0.5649345 * x0))) + sin((0.6474534 * x1) * x2)) - (0.7979373 * x1)"
19,0.17466034,"square(square(square(x0 * 0.5649345))) + ((sin((x2 * 0.6474534) * (x1 + 0.20826116)) - x1) * 0.7979373)"
20,0.15755,"(((sin((x1 + -0.0019416942) * (x2 * 0.70596325)) - x1) * 0.8081375) + square(square(x0 * 0.6039249))) - 0.1684738"
