Complexity,Loss,Equation
1,0.99999994,"2.4957185e-6"
3,0.9106191,"x0 * 0.29490986"
4,0.86906034,"sin(x0) / 2.0314455"
5,0.8298938,"sin(square(x0)) / x0"
6,0.7565878,"sin(x0 / (x0 + 1.2237585))"
7,0.75521,"sin(sin(x0 / (x0 + 1.2287738)))"
8,0.7495283,"sin(x0 / ((x0 + 2.7642353) * 0.59714323))"
10,0.74244666,"sin(((x0 / 1.2237585) + x0) / (x0 + 2.7530184))"
11,0.74182194,"(sin(x0 + x0) + sin(x1 - 0.6757509)) * 0.6805366"
12,0.7414431,"sin(((square(square(x0)) / x0) - (-0.3807395 * x1)) * 0.5863865)"
13,0.7388599,"sin(((0.5863865 * square(square(x0))) / x0) - sin(x1 * -0.3807395))"
14,0.71562535,"sin(sin(square(x0) - -0.15043259) * (x0 - ((x1 + -0.68671733) * -0.5751488)))"
15,0.71240145,"sin(((0.53195274 / x0) * square(square(x0))) - (sin(x1 + -0.4872907) * -0.63107353))"
