Complexity,Loss,Equation
1,1.0,"0.0"
2,0.73567945,"sin(x0)"
3,0.65192056,"x0 * 0.58643556"
4,0.5622963,"sin(x0 + x1)"
5,0.4327432,"(x0 + x1) * 0.5299194"
6,0.41533536,"sin((x0 + x1) * 0.6409707)"
8,0.3877782,"sin((x1 + x0) / 1.7514023) * 1.3794397"
10,0.38567826,"sin(((x1 + x0) / 1.3794397) / 1.3794397) * 1.3794397"
11,0.3837374,"(0.41665384 * (x1 - (x0 * (-1.0534023 + x0)))) + 0.41665384"
12,0.37402818,"sin((0.41665384 * (x1 - (x0 * (-1.0534023 + x0)))) + 0.41665384)"
13,0.37378523,"((x1 / 2.4027333) + 0.34809944) - (x0 * ((x0 * 0.31679794) + -0.3912412))"
14,0.3186619,"sin(((x1 - (x0 * (-1.0534023 + x0))) * 0.41665384) + 0.2630407) * 1.5670149"
16,0.31757608,"sin(((x1 / 2.4027333) + 0.34809944) - (((x0 * 0.31679794) + -0.23998192) * x0)) * 1.6302944"
17,0.31567952,"sin(sin(((x1 / 2.4027333) - (x0 * ((x0 * 0.31679794) + -0.23998192))) + 0.34809944)) * 1.6302944"
18,0.29739195,"sin(((x1 / 2.3689704) + 0.30449802) - ((x0 + x0) * ((x0 * 0.16253282) + -0.18621016))) * 1.5052423"
20,0.28487167,"(sin(((x1 / 1.626326) + 0.45805144) - (((x0 * 0.18319497) + -0.2135013) * (x0 + x0))) + -0.12812123) * 1.3201125"
21,0.2844869,"(-0.12812123 + sin(((x1 / 1.626326) + sin(0.48336163)) - (((x0 * 0.18319497) + -0.2135013) * (x0 + x0)))) * 1.3201125"
22,0.2825217,"sin((x1 / (1.5428451 - (x2 * -0.2993389))) + (0.30449802 - (((x0 * 0.16253282) + -0.18621016) * (x0 + x0)))) * 1.5052423"
25,0.28013733,"sin((x1 / (1.5428451 - sin((x2 * -0.18621016) * 1.6325625))) + (0.30449802 - ((x0 + x0) * (-0.18621016 + (x0 * 0.16235796))))) * 1.5052423"
26,0.25388262,"sin(((x1 / 1.970957) - (-0.20772442 + ((x1 * (x2 / 1.970957)) / 2.1827044))) - (((x0 * 0.14883244) + -0.1693488) * (x0 + x0))) * 1.6923118"
