Complexity,Loss,Equation
1,0.012586513,"0.1745684"
3,0.0057236366,"x3 * 0.0013275068"
4,0.005695456,"sin(x3 * 0.0013670548)"
5,0.004021975,"(x2 * 0.05294105) * x3"
6,0.0039864434,"sin((x3 * x2) * 0.054166097)"
7,0.0037759242,"0.0255837 - (x3 * (-0.04779997 * x2))"
8,0.0037738732,"sin((x3 * x2) * 0.047326412) + 0.02927827"
11,0.003727372,"(x3 * ((x1 - (x2 * -0.04779997)) - x0)) + x2"
12,0.0037262083,"x2 - sin(((-0.04779997 * x2) - (x3 * x1)) * x3)"
13,0.003154638,"0.0124218585 - (x3 * ((x2 * -0.051002253) - ((x1 * x3) / 0.097665526)))"
15,0.003026907,"x2 - (x3 * ((x2 * -0.04779997) - (((x3 * x1) / 0.14130177) - x0)))"
16,0.002859936,"sin(x2 - (x3 * ((x2 * -0.047784444) - (((x3 * x1) / 0.079447) - x0))))"
20,0.002795497,"x2 - (x3 * ((x2 * -0.04779997) - ((((x1 / 0.0060904236) + sin(x3 * x1)) / 0.14130177) - x0)))"
22,0.0027951559,"x2 - (x3 * ((x2 * -0.04779997) - (((((x1 / 0.0060904236) + x1) + (x3 * x1)) / 0.14130177) - sin(x0))))"
24,0.0021794545,"((x2 - (x3 * ((x2 * -0.005368704) - sin(((((x1 / 0.011428073) + x1) / 1.3206546) / 0.10874401) - x0)))) - x0) / 0.15894991"
