Complexity,Loss,Equation
1,0.016691206,"0.20114234"
3,0.007954838,"x3 * 0.0015350498"
4,0.007886299,"sin(x3 * 0.0015567187)"
5,0.007831293,"sin(sin(x3 * 0.0015847122))"
6,0.0077932337,"sin(sin(sin(x3 * 0.0016300012)))"
7,0.0055582216,"x2 + (x2 / (17.915432 / x3))"
10,0.0054470063,"0.023801154 + ((x2 / x3) / square(4.214767 / x3))"
11,0.005426087,"sin(0.023801154 + ((x2 / x3) / square(4.214767 / x3)))"
12,0.0046190326,"((x2 / x3) + (x1 * x3)) / square(4.122539 / x3)"
13,0.004462854,"sin(((x2 / x3) + (x1 * x3)) / square(-4.0309505 / x3))"
14,0.004295113,"(((x1 * x3) + (x2 / x3)) / square(4.214767 / x3)) + 0.023801154"
15,0.0042218734,"sin(((x1 * x3) + (x2 / x3)) / square(4.214767 / x3)) + 0.023801154"
17,0.0038768784,"sin(((x2 / x3) + (x3 * x1)) / (x0 + (14.72584 / (square(x3) / 0.8519454))))"
18,0.0034632003,"((x2 / x3) + (x1 * x3)) / (x0 + sin(sin((22.62911 / square(x3)) / 1.5956761)))"
20,0.0033417766,"sin(((x2 / x3) + (x3 * (x1 * 1.4572848))) / (x0 + ((0.9992267 / square(x3)) / sin(0.0724331))))"
21,0.003259705,"sin(sin(((x2 / x3) + (x3 * (x1 * 1.4572848))) / (((0.9992267 / square(x3)) / sin(0.0724331)) + x0)))"
22,0.0032592511,"sin(sin((((x2 / x3) + ((x1 * 1.4572848) * x3)) / (((0.9992267 / square(x3)) / 0.0724331) + x0)) - x0))"
23,0.0032592462,"sin(sin((((x2 / x3) + ((x1 * 1.4572848) * x3)) / (sin((0.9992267 / square(x3)) / 0.0724331) + x0)) - x0))"
24,0.003259241,"sin(sin((((x2 / x3) + ((x3 * x1) * 1.4572848)) / (x0 + sin(sin((0.9992267 / square(x3)) / 0.0724331)))) - x0))"
