Complexity,Loss,Equation
1,0.020145074,"0.20715843"
3,0.013670344,"x2 * 9.350744"
4,0.012661291,"square(x2 / 0.053205423)"
5,0.012172128,"(x2 * 0.061434098) * x3"
6,0.011289217,"(x3 + 185.45627) * square(x2)"
7,0.0110242395,"(3.905782 - (x3 * -0.038635176)) * x2"
8,0.01028556,"(square(x2) * (x3 * 1.4381799)) + 0.0922561"
9,0.006949048,"(x2 + ((x3 * x1) / 0.0012783273)) * 9.743256"
10,0.0069488045,"(sin((x3 * x1) / 0.0012783277) + x2) * 9.743256"
11,0.006712595,"((((x3 * x1) / 0.0012783277) + x2) * 9.743256) - 0.019735161"
12,0.0067123934,"((sin((x3 * x1) / 0.0012783277) + x2) * 9.743256) - 0.019735161"
13,0.0065853377,"(x2 + (((x1 * x3) / 0.0012783277) + (x0 * -8.39109))) * 9.743256"
15,0.0064921924,"(((x0 + x1) * -11.28391) + (x2 + ((x1 * x3) / 0.0012783277))) * 9.743256"
16,0.006380852,"square(sin(((x2 + square(-0.11767834)) + (x3 * (x1 / 0.0013530441))) * (-9.958349 / 0.76121056)))"
17,0.0063808504,"square(sin((((((x3 * x1) / 0.0013530441) + (x2 + x1)) + 0.013848191) * -9.958349) / 0.76121056))"
18,0.006230268,"sin(square(sin(((((x3 * x1) / 0.0013530441) + ((x2 + x1) + 0.013848191)) * -9.958349) / 0.76121056)))"
24,0.006034371,"sin((((((x3 * (x1 / 0.0012783277)) + -0.0009905556) + x2) - 0.0012783277) + ((x2 * (0.22511604 * (x2 * x3))) / 9.743256)) * 9.743256)"
26,0.00603436,"sin((((x3 * (x1 / 0.0012783277)) + -0.0009905556) + (((x1 + x2) - 0.0012783277) + ((x2 * 0.22511604) * ((x2 * x3) / 9.743256)))) * 9.743256)"
27,0.006012663,"sin(((x3 * (x1 / 0.0012783277)) + ((((x1 + x2) - 0.0012783277) + (((x2 * square(-0.49228066)) * (x2 * x3)) / 9.743256)) + -0.0009905556)) * 9.743256)"
28,0.00599334,"sin(((((x1 / 0.0012783277) * x3) + ((x1 + (x2 - 0.0012783277)) + ((x2 * ((0.22511604 * x2) * x3)) / 9.743256))) + -0.0009905556) * 9.743256) - 0.002816564"
30,0.005809622,"sin(sin(sin(0.08971316 - sin(sin((-1.4747773 - x2) * (square(x2) * x3)))) + sin(((x1 * square(-1.215411)) / 0.48782146) * square(x3 * (1.4245174 - -1.4747773)))))"
