Complexity,Loss,Equation
1,0.018627215,"0.18906884"
3,0.013555923,"x2 * 8.528741"
4,0.012771634,"square(x2) * 325.4629"
5,0.0127400905,"sin(325.4629 * square(x2))"
6,0.011637117,"(x3 * square(x2)) + 0.10828554"
8,0.011240557,"(x3 * (square(x2) + x0)) + 0.094882295"
9,0.0064524817,"(x2 - (x1 * (x3 * -871.7552))) / 0.119575664"
10,0.0064510987,"(x2 - ((x3 * x1) * -871.7552)) / sin(0.119575664)"
11,0.0064366814,"(x2 - ((x3 * (x1 * -871.7552)) + x0)) / 0.11929091"
12,0.0064358274,"(x2 - ((x3 - -1.6597124) * (x1 * -871.7552))) / sin(0.119575664)"
13,0.0057491744,"(x3 * ((5559.62 * x1) + square(x2))) + square(x2 * 12.580408)"
14,0.005373405,"((square(x2) + (x0 + (x1 * 5678.706))) * x3) + (x2 * 4.1262603)"
15,0.0052085104,"sin(((square(x2) + ((x1 + x1) * 4019.9243)) * x3) + (x2 * 4.694043))"
16,0.0051276465,"sin(sin(((((x1 + x1) * 4019.9243) + square(x2)) * x3) + (x2 * 4.694043)))"
