Complexity,Loss,Equation
1,0.020632057,"0.22129773"
3,0.0118564665,"x3 * 0.0015475776"
4,0.011641657,"square(x2 * -19.412642)"
5,0.010774202,"x2 - (x3 * -0.0015150205)"
6,0.010686024,"x2 - sin(x3 * -0.0015221661)"
7,0.009932618,"sin((square(x2) - -0.001350979) * x3)"
8,0.007737536,"0.07739776 - ((x3 * square(x2)) / -0.571388)"
9,0.00772715,"sin(0.07739776 - (x3 * (square(x2) / -0.571388)))"
10,0.0076767257,"sin(sin(0.06726834 - (x3 * (square(x2) / -0.51041925))))"
11,0.0076662707,"sin(sin(0.06726834 - sin((square(x2) * x3) / -0.51041925)))"
12,0.0075003183,"0.06726834 - ((x3 / -0.51041925) * (square(x2) + (x1 * x3)))"
13,0.0072937077,"sin(0.06726834 - ((x3 / -0.51041925) * (square(x2) + (x3 * x1))))"
14,0.004266554,"(0.05698253 - (x3 * (square(x2) / -0.5280088))) + ((x3 * x1) * 6427.921)"
15,0.0039527253,"sin((0.06232874 - ((x3 / -0.51041925) * square(x2))) + (x1 * (x3 * 6525.189)))"
16,0.0037686727,"sin(sin(((6525.189 * x3) * x1) + (0.06232874 - ((x3 / -0.51041925) * square(x2)))))"
17,0.0037173366,"sin(sin(sin((((x1 * x3) * 6525.189) + 0.0666506) - (square(x2) * (x3 / -0.50994253)))))"
18,0.0035605838,"sin(sin((0.08057167 - (square(x2) * (x3 / -0.532243))) + (x3 * ((x1 * 6355.216) - x0))))"
19,0.0035285316,"sin(sin(sin((0.07681115 - (square(x2) * (x3 / -0.5065395))) + (x3 * ((x1 * 6525.189) - x0)))))"
30,0.003492316,"sin(sin(((x3 - (sin(square(x2)) * (square(x3) - (x3 / -0.00926142)))) * ((x1 * 6525.189) - x0)) + (0.072717994 - ((x3 / -0.5133937) * sin(square(x2))))))"
