Complexity,Loss,Equation
1,1.6357984e-5,"0.0034946378"
3,1.5871045e-5,"x2 * 0.15091008"
4,1.5563202e-5,"square(x2 + 0.036893304)"
5,1.2024289e-5,"(x1 / 3.329513e-5) + 0.0034743338"
7,1.1553249e-5,"((193.9641 * x3) * x1) + 0.0032672682"
9,1.1188767e-5,"((x3 / 0.0069845705) * x1) + (0.12892564 * x2)"
10,1.10938645e-5,"((x3 * (x1 * 193.9641)) + square(x2)) + 0.0023229886"
11,1.0526106e-5,"((193.9641 * x1) * x3) + ((0.15100126 * x2) + x0)"
12,1.0325283e-5,"square(x2 + (((x1 * 1755.8552) + (x0 + x0)) * x3))"
13,1.0324704e-5,"sin(square(x2 + (((x1 * 1755.8552) + (x0 + x0)) * x3)))"
14,1.0270735e-5,"x0 + square(x2 + ((((x1 * 1755.8552) + x0) + x0) * x3))"
15,1.0231817e-5,"x0 + square(sin(x2 + (((x1 * 1755.8552) + (x0 + x0)) * x3)))"
17,9.114848e-6,"square(sin(x0 + ((x3 * (x0 + (x1 * 1755.8552))) + (x0 + x2)))) - -0.0021050603"
