Complexity,Loss,Equation
1,0.009179075,"0.08528067"
3,0.00848558,"x3 * 0.0006145788"
5,0.004784644,"(x1 / 1.2049891e-6) + 0.083476625"
7,0.004468977,"(x2 + (x1 / 1.2049891e-6)) + 0.060135383"
8,0.003324458,"square(((x1 + x1) / 9.63827e-7) + 0.22340062)"
9,0.0033164264,"sin(square(((x1 + x1) / 9.63827e-7) + 0.22340062))"
10,0.002957413,"square(((x1 + x1) / 9.63827e-7) + 0.22340062) + x2"
12,0.0028652323,"(x3 * x0) + square(((x1 + x1) / 1.0499035e-6) + 0.21849626)"
13,0.0028028982,"square(sin((x1 + (x1 / 4.6765228e-7)) + 0.2280101)) + (x3 * x0)"
14,0.002611755,"((x0 + x0) * x3) + square(((x1 + x1) / 9.63827e-7) + 0.20724101)"
15,0.0025677849,"square(sin((x1 + x1) / 9.63827e-7) + 0.2087539) + (x3 * (x0 + x0))"
16,0.0025673748,"sin(square(sin((x1 + x1) / 9.63827e-7) + 0.2087539) + (x3 * (x0 + x0)))"
17,0.002513403,"(((x0 + x0) * x3) + ((x1 / (1.2049891e-6 - (x1 / 0.32400888))) + x2)) + x2"
18,0.002488658,"((x0 + x0) * x3) + sin(((x1 / (1.2049891e-6 - (x1 / 0.32400888))) + x2) + x2)"
19,0.0024745825,"((x0 + x0) * x3) + sin(sin((x1 / (1.2049891e-6 - (x1 / 0.32400888))) + (x2 + x2)))"
20,0.0022213273,"((((x0 + x0) * (x3 / 0.5462187)) + (x1 / 1.2049891e-6)) + square((x1 + x1) / -1.0040412e-6)) + x2"
