Complexity,Loss,Equation
1,0.9999999,"8.8720735e-5"
3,0.7720384,"x1 * -0.4781025"
4,0.721293,"sin(0.18479745 - x1)"
5,0.695932,"0.35711515 * (x2 - x1)"
6,0.60340965,"sin(x0 + -1.8426298) * x1"
7,0.58708125,"sin(sin(x0 + -1.8426298)) * x1"
8,0.57064915,"sin(x1 * sin(-0.88317776 - square(x0)))"
9,0.52637017,"1.6221974 * sin(x1 * sin(-1.3861238 - x0))"
10,0.51656383,"sin(sin(x1 * sin(-1.3861238 - x0))) * 1.8502679"
11,0.5111832,"sin(sin(x1 * sin(sin(-1.3861238 - x0)))) * 1.8502679"
12,0.49668962,"sin((0.2774405 * square(x0 * x0)) - (sin(x1) / 0.5052869))"
13,0.48527297,"(0.2101262 * x2) + sin(square(x0 * (x0 * 0.48640513)) - x1)"
14,0.48000628,"sin(sin(square((0.37889317 - x0) * (x0 * 0.4591525)) - x1) / 0.5667505)"
15,0.4417328,"(x2 * 0.2101262) + sin(square((x0 - 0.37889317) * (x0 * -0.45631868)) - x1)"
16,0.44038534,"sin((square(x0 * (x0 + -0.15984106)) * 0.24411927) - (sin(x1 / 1.2035961) * 1.9522452))"
17,0.424636,"((0.2101262 * x2) + sin(square((0.37889317 - x0) * (-0.45631868 * x0)) - x1)) / 0.90355664"
18,0.41535634,"(x2 * 0.1831874) + sin(sin(square(((0.37889317 - x0) * x0) * 0.4591525) - x1) / 0.5667505)"
20,0.39585945,"(x2 * 0.18507476) + (sin(sin(square(((x0 - 0.20374681) * x0) * 0.4660246) - x1) / 0.57260865) - 0.16785368)"
21,0.3957993,"((x2 * 0.18507476) + sin(sin(square(x0 * ((x0 - 0.20374681) * 0.4660246)) - x1) / 0.57260865)) - sin(0.16785368)"
22,0.37070262,"(sin(sin(square((x0 * 0.4660246) * (0.20374681 - x0)) - (x1 + -0.12075485)) / 0.57260865) + (x2 * 0.18507476)) - 0.18507476"
23,0.36983603,"sin(sin(square((0.20374681 - x0) * (0.4660246 * x0)) - (x1 + -0.12075485)) / 0.57260865) + ((x2 * 0.18507476) - sin(0.23429796))"
24,0.36974192,"sin(sin(square(((0.20374681 - x0) * 0.4660246) * x0) - (x1 + -0.12075485)) / 0.57260865) + ((x2 * 0.18507476) - (0.16785368 + 0.060526922))"
