Complexity,Loss,Equation
1,1.0,"0.0"
3,0.48289424,"x1 * -0.7194601"
6,0.41276932,"sin(x1) * (x2 + -1.3916502)"
7,0.38195348,"sin(x2 * sin(x1)) - x1"
8,0.33850977,"((x2 * sin(x1)) - x1) * 0.74023956"
9,0.3210538,"sin(x2 * sin(x1)) - (x1 * 0.7533451)"
10,0.31839252,"((sin(x1) * (x2 + -0.66516167)) - x1) / 1.6560125"
11,0.30184546,"(sin(sin(x1)) * (x2 - 0.7821617)) - (x1 * 0.4576962)"
12,0.2937772,"(sin(sin(sin(x1))) * (x2 - 0.7821617)) - (x1 * 0.4576962)"
13,0.2770403,"(x2 * sin(x1)) - ((x1 - (square(x0) + -0.8248629)) / 1.8317782)"
14,0.2604899,"sin(sin(x1) * x2) - ((x1 - (square(x0) + -0.9470582)) / 1.8317782)"
15,0.21969143,"((x2 * sin(x1)) - (x1 - ((square(x0) + -0.8248629) / 1.8317782))) * 0.8039497"
16,0.19774708,"((sin(x1) * x2) - ((x1 - 0.73235893) - sin(square(x0) + -2.1893854))) / 1.3747292"
17,0.1821517,"sin(sin(x1) * x2) - (((x1 - 0.73235893) - sin(-2.1893854 + square(x0))) / 1.3747292)"
18,0.17926356,"((sin(x1) * (x2 + -0.66516167)) - ((x1 - 0.7345335) - sin(square(x0) + -2.0872867))) / 1.6560125"
19,0.17176683,"sin(sin(x1) * (x2 + -0.66516167)) - (((x1 - 0.7345335) - sin(square(x0) + -2.0872867)) / 1.6560125)"
