Complexity,Loss,Equation
1,0.78454745,"x0"
2,0.758102,"sin(x0)"
3,0.6306695,"x0 * 0.60690415"
5,0.50737983,"0.49350196 * (x1 + x0)"
6,0.50157964,"sin((x1 + x0) / 1.7129768)"
7,0.48432255,"(x0 + (x1 * 0.6622497)) / 1.7129768"
8,0.47787142,"sin(x1 * 0.5958384) + (x0 / 1.7129768)"
9,0.41762373,"(square(x0 / 1.7129768) * x0) + sin(x1)"
10,0.35636783,"(((x0 + x1) + 1.1672289) - square(x0)) * 0.38409597"
12,0.35010156,"(0.5589826 - square((x0 / 1.4008279) - 0.24343966)) + (0.37895042 * x1)"
13,0.34553215,"(sin(x1 * 0.5059642) - square((x0 / 1.5286782) - 0.3094581)) + 0.4601889"
15,0.31608558,"((x1 + 0.9398453) * 0.43241206) - square(x0 * square(sin(square(x0 / 1.302943))))"
16,0.3097306,"sin((x1 + 0.87544024) * 0.57229966) - square(x0 * square(sin(square(x0 / 1.2866267))))"
17,0.30294025,"((x1 * 0.3125391) + 0.3759942) - square(sin(square(square((x0 / 2.041263) - 0.29626262))) * x0)"
18,0.29601642,"sin((x1 * 0.5958384) + 0.4601889) - square(square(sin(square((x0 / 1.7129768) - 0.3094581))) * x0)"
19,0.2899698,"sin(0.4601889 + (x1 * 0.5958384)) - square(square(square(sin(square((x0 / 1.7129768) - 0.3094581)))) * x0)"
20,0.2896084,"sin((x1 * 0.6940331) + 0.41667655) - square(-0.09107096 - (x0 * square(sin(square((x0 / 1.7129768) - 0.3094581)))))"
21,0.28217566,"sin(sin(x1 * 0.6940331) + 0.41667655) - square(-0.09107096 - (x0 * square(sin(square((x0 / 1.7129768) - 0.3094581)))))"
