Complexity,Loss,Equation
1,0.8200134,"x0"
2,0.73567945,"sin(x0)"
3,0.65190804,"x0 * 0.59030014"
4,0.5622963,"sin(x1 + x0)"
5,0.4327396,"(x0 + x1) * 0.52938396"
6,0.4153726,"sin((x0 + x1) * 0.6444732)"
8,0.38561732,"sin((x0 + x1) * 0.52938396) / 0.7273109"
10,0.3704987,"sin(x0 - -0.949301) + ((x1 * 0.4305921) - 0.511544)"
11,0.3538353,"(sin(x0 + 0.91212046) + sin(x1 * 0.71271735)) - 0.49555463"
13,0.3104534,"sin(sin(x0 + 1.1022085) + ((x1 * 0.5254158) - 0.5369807)) * 1.4118168"
15,0.30849856,"(1.4118168 * sin((x1 * 0.5254158) + (sin(x0 + 1.1022085) - 0.5369807))) + -0.05587962"
16,0.30439314,"(sin(((x1 * 0.65794337) + sin(sin(0.46533287 - x0))) + x0) + -0.11380869) * 1.4948788"
19,0.30047697,"(sin(-0.72952724 / (1.288895 / (((x0 * 1.3773777) + x1) + sin(x0 + 2.256192)))) * -1.4702362) + -0.2890913"
21,0.28994933,"(-1.3916093 * sin((-0.85064995 / (1.3102678 / (sin(x0 + 1.7562888) + ((x0 + x1) * 0.85485685)))) + 0.20755664)) + -0.18448119"
23,0.28986323,"((-1.3916093 * sin((-0.85064995 / (1.3102678 / ((0.85485685 * (x0 + x1)) + sin(x0 + 1.7562888)))) + 0.17430203)) + -0.18448119) + -0.07640987"
24,0.2898205,"((-1.3916093 * sin((-0.85064995 / (1.3102678 / ((0.85485685 * (x0 + x1)) + sin(x0 + 1.7562888)))) + 0.17430203)) + sin(-0.18448119)) + -0.07640987"
