Complexity,Loss,Equation
1,0.80516106,"x0"
2,0.7952582,"sin(x0)"
3,0.64309007,"x0 * 0.5977462"
4,0.62780285,"0.9780386 - square(x0)"
5,0.56018627,"(x0 + x1) * 0.46765143"
6,0.49189636,"(x0 * 0.32641962) * square(x0)"
7,0.47864246,"(1.9406419 - square(square(x0))) * 0.22561759"
8,0.38828248,"(x1 + (square(x0) * x0)) * 0.36432394"
9,0.37903115,"((x1 - -2.0697365) - square(square(x0))) * 0.22561759"
10,0.3765586,"(((square(x0) * x0) + x1) + 0.27267632) * 0.27932167"
11,0.353173,"((x1 + (x0 - -1.9406183)) - square(square(x0))) * 0.20302285"
12,0.3529048,"((x1 + (x0 - -1.9406183)) - square(square(x0))) * sin(0.20302285)"
13,0.34010178,"(1.6360824 - (square((0.24367516 * square(x0)) - x0) - x1)) * 0.33407274"
14,0.3235293,"sin(((x1 + x0) * 0.4978837) + 0.35482493) - (0.12867978 * square(square(x0)))"
15,0.3155923,"sin((x1 * 0.4978837) + 0.35482493) - (square(sin(x0) - square(x0)) * 0.12867978)"
16,0.31209412,"sin(sin(x1 * 0.4978837) + 0.35482493) - (square(sin(x0) - square(x0)) * 0.12867978)"
17,0.2986829,"sin(0.46635318 + (x1 * 0.46635318)) - (square(sin(x2 + x0) - square(x0)) * 0.15326114)"
18,0.29763713,"sin(sin((x1 * 0.46635318) + 0.49254552)) - (square(sin(x1 + x0) - square(x0)) * 0.15326114)"
20,0.26677203,"(sin(((x1 * -0.63828385) + (1.0284925 - (square(square(0.33154964 - x0)) * 0.12760302))) + x1) * 1.6188288) + -0.9051333"
21,0.26627716,"(sin(((x1 * -0.64962286) + (1.009543 - (square(square(0.41405672 - x0)) * square(-0.302957)))) + x1) * 1.5479684) + -0.8333786"
22,0.26613012,"(1.6188288 * sin((x1 + ((x1 * -0.63828385) + 1.0284925)) - (square(square(x0 - 0.33154964)) * 0.12760302))) + (0.94511724 / -1.0814434)"
24,0.2658243,"(sin(((0.9580093 + x1) - square((x0 - square(x0 - 0.41405672)) * (x0 * 0.13294289))) + (x1 * -0.64962286)) * 1.5479684) + -0.8333786"
25,0.25657883,"(sin(((x1 * -0.64962286) + 0.9580093) + (x1 - square((x0 - square(square(x0) - 0.41405672)) * (x0 * 0.13294289)))) * 1.5479684) + -0.8333786"
