Complexity,Loss,Equation
1,0.00011293888,"0.011937297"
3,9.51835e-5,"x3 * x0"
4,9.5179144e-5,"sin(x0 * x3)"
5,9.3177965e-5,"(x3 * x0) + 0.0014352626"
6,9.211254e-5,"sin(x3 * (x0 + 2.4737321e-5))"
7,5.4971508e-5,"(95707.11 * x1) + (x2 * 0.5473214)"
9,5.492064e-5,"((0.5473214 * x2) + x0) + (x1 * 95707.11)"
10,5.416452e-5,"(88629.72 * x1) - (sin(-21.059172 * x2) * x2)"
11,5.416393e-5,"(x1 * 88629.72) - (sin(-21.059172 * x2) * sin(x2))"
12,5.4163353e-5,"(x1 * 88629.72) - (sin(x2 * -21.059172) * sin(sin(x2)))"
13,5.4078937e-5,"((x1 * 73588.28) + 0.0016594074) - sin((x2 * sin(x2)) * -17.938282)"
14,5.1878596e-5,"0.0046344623 + square(((108681.06 * x1) - ((-21.059084 * x2) * x2)) / -0.18122116)"
15,5.151526e-5,"square(sin(((x1 * 108681.06) - (-21.059084 * (x2 * x2))) / -0.18122116)) + 0.0046344623"
16,5.1017774e-5,"square(((x2 * sin(-21.059084 * x2)) - (x1 * 108681.06)) / -0.18122116) + sin(0.0046344623)"
17,5.070467e-5,"square((x0 + ((x1 * 108681.06) - (x2 * sin(x2 * -21.059084)))) / -0.18122116) + 0.0046344623"
18,5.0541337e-5,"square(sin((x0 + ((x1 * 108681.06) - (x2 * sin(x2 * -21.059084)))) / -0.18122116)) + 0.0046344623"
19,4.860398e-5,"square(((x0 / 0.09801385) + ((x1 * 108681.06) - (x2 * sin(x2 * -21.059084)))) / -0.18122116) + 0.0046344623"
20,4.831718e-5,"square(sin(((x0 / 0.09801385) + ((x1 * 108681.06) - (x2 * sin(x2 * -21.059084)))) / -0.18122116)) + 0.0046344623"
21,4.7582587e-5,"square(sin(sin(((x0 / 0.073778614) + ((x1 * 108681.06) - (x2 * sin(x2 * -21.059084)))) / -0.18122116))) + 0.0046344623"
22,4.732621e-5,"square(sin(sin(sin(((x0 / 0.073778614) + ((x1 * 108681.06) - (x2 * sin(-21.059084 * x2)))) / -0.18122116)))) + 0.0046344623"
24,4.7314465e-5,"square(sin(sin(sin(((sin(x2 * -21.059084) * (x2 + x0)) - ((x0 / 0.073778614) + (x1 * 108681.06))) / -0.18122116)))) + 0.0046344623"
26,4.689594e-5,"square(sin(sin(sin(sin(sin((((x0 / 0.073778614) + (x1 * 108681.06)) - ((x2 + x0) * sin(-21.059084 * x2))) / -0.18122116)))))) + 0.0046344623"
