Complexity,Loss,Equation
1,0.01862721,"0.189029"
3,0.013555895,"x2 / 0.11719862"
4,0.012741479,"square(x2 * 17.790266)"
5,0.0127089545,"square(sin(x2 / 0.053682283))"
6,0.012580052,"square(-0.0647727 + (x2 / -0.0647727))"
7,0.006450263,"(x2 + (x1 * 138292.42)) / 0.115842074"
9,0.005967565,"square(sin((x2 + (x1 * 100208.8)) / 0.054846395))"
10,0.0056974767,"square(sin(sin(((x1 * 100208.8) + x2) / -0.05076841)))"
12,0.005622724,"square(sin(sin((x2 + (100208.8 * x1)) / 0.05487393))) - -0.025644064"
14,0.0056075137,"sin(sin(square(-0.13381475) + square(sin(((100208.8 * x1) + x2) / 0.05487393))))"
15,0.005588972,"sin(square(-0.13381475) + sin(sin(square(sin(((100208.8 * x1) + x2) / 0.05487393)))))"
