Complexity,Loss,Equation
1,0.012586513,"0.17456755"
3,0.0073984745,"x2 / 0.12538879"
4,0.006797935,"square(x2 / -0.057847116)"
5,0.00402579,"x2 / (18.60604 / x3)"
6,0.00398778,"sin(x2 / (18.60604 / x3))"
7,0.0039729318,"sin(x2 / sin(18.60604 / x3))"
8,0.0039282893,"sin(x2 / (18.60604 / x3)) - -0.012756484"
11,0.0038255963,"sin((x2 * 3.6404011) / sin(-1.7624929 / (x3 / -40.981556)))"
12,0.003787811,"sin((x2 * 3.5845754) / sin(sin(-2.4644308 / (x3 / -29.287153))))"
14,0.0035533675,"square(-1.0885835 / (((x2 + (1.0618666 / (x3 / -3.8862443))) - 0.058944725) / 0.02578365))"
16,0.0035491118,"square(-1.0885835 / (((x2 + (1.0618666 / (x3 / -3.8862443))) - 0.058944725) / -0.025875418)) * 0.9684712"
18,0.0034932902,"square(-3.8389738 / (((x0 - x2) - ((1.0258774 / (x3 / -1.9837214)) - 0.056182295)) / (x0 - 0.0053388984)))"
20,0.0033379244,"square(-3.8389738 / ((((1.0258774 / (x3 / -1.9837214)) - 0.056182295) - (x0 - x2)) / ((0.0053388984 - x0) - x0)))"
22,0.0033336899,"square(-3.8389738 / (((x0 - x2) - ((1.0258774 / (x3 / -1.9837214)) - 0.056182295)) / (((x0 - 0.005128186) / 0.9605326) + x0)))"
23,0.0031607517,"square(-3.8389738 / ((((0.89391094 / (x3 / -1.9837214)) - 0.056182295) - ((x0 / 0.056182295) - x2)) / sin((x0 - 0.005128186) / 0.9605326)))"
24,0.003008572,"square(-3.8389738 / ((((0.89391094 / (x3 / -1.9837214)) - 0.056182295) - ((x0 / 0.056182295) - x2)) / (((x0 + x0) - 0.005128186) / 0.9605326)))"
30,0.002940714,"square(-3.8389738 / (((x0 - x2) - ((1.0258774 / (x3 / -1.9837214)) - 0.056182295)) / (((((x0 / 0.9605326) + ((x0 + x0) - 0.005128186)) / 0.9605326) + x0) / 0.9605326)))"
