Complexity,Loss,Equation
1,0.016035775,"0.16427366"
3,0.012609049,"x2 / 0.13591602"
4,0.01221575,"square(x2 * -17.043705)"
5,0.012063924,"square(sin(x2 / -0.058144473))"
6,0.011449546,"sin(x3 * -0.0071086087) * -0.2431449"
7,0.0063365647,"(x2 + (x1 / 6.321921e-6)) / 0.15448411"
9,0.0055000605,"(x2 + (x1 / 6.779467e-6)) / (0.15753056 - x2)"
10,0.005050644,"square((((x1 / 8.5574575e-6) + x2) / 0.07813374) + 0.097685024)"
11,0.004950209,"sin(square((((x1 / 8.5574575e-6) + x2) / 0.07813374) + 0.097685024))"
12,0.0049097077,"sin(sin(square(((x2 + (x1 / 8.5574575e-6)) / 0.07813374) + 0.10120978)))"
15,0.0048885164,"sin(sin(square(square(x2 + -0.34682876) + (((x1 / 8.5574575e-6) + x2) / 0.078054264))))"
16,0.0048027276,"sin(sin(sin(sin(square(((x2 + ((x1 * 1.122484) / 8.5574575e-6)) / 0.07813374) + 0.10120978)))))"
17,0.004306141,"square(sin(((x2 + (8.5574575e-6 / (x2 + 8.5574575e-6))) + (x1 / 8.5574575e-6)) / 0.078054264)) / 0.6564603"
18,0.004168267,"sin(square(sin((x2 + ((8.5574575e-6 / (x2 + 8.5574575e-6)) + (x1 / 8.5574575e-6))) / 0.078054264)) / 0.6103167)"
20,0.004128022,"sin(sin(sin(square(sin(((x1 / 8.5574575e-6) + (x2 + (8.5574575e-6 / (x2 + 8.5574575e-6)))) / 0.078054264)) / 0.55983156)))"
21,0.004069222,"sin(sin(square(sin(((x1 / 8.5574575e-6) + ((8.5574575e-6 / (8.5574575e-6 + x2)) + x2)) / 0.078054264)) / 0.55983156) / 1.1184599)"
22,0.003999835,"(square(sin(sin((((x1 / 8.5574575e-6) + (8.5574575e-6 / (x2 + 8.5574575e-6))) + x2) / 0.078054264))) / (0.2628146 + 0.39364564)) + x2"
