Complexity,Loss,Equation
1,0.009179035,"0.08508255"
3,0.008485643,"x3 * 0.0006177055"
4,0.008478522,"sin(x3 * 0.0006177055)"
5,0.0073535573,"(x0 * x3) * 7.6505613"
6,0.0073395697,"sin(x3 * (x0 * 7.572319))"
7,0.0044947625,"x3 * ((x1 / 0.00017313838) + 0.00058766874)"
9,0.0038376509,"(x3 * (x0 + (x1 * 731.55237))) / 0.13586752"
11,0.0037625183,"((x1 / 0.00020533054) + ((x0 + 0.00039634196) + x0)) * x3"
13,0.0035579558,"x3 * ((x1 / 0.00020533054) + ((0.00039634196 + (x0 + x0)) + x0))"
15,0.0033793587,"(x2 + (((x0 + (x0 + (x1 / 0.00017536894))) + x0) * x3)) + x2"
17,0.0033365032,"((x3 * ((x0 + x0) + (x1 / 0.00016626761))) + x2) + (x3 * (x0 + 0.00019246334))"
20,0.0033229783,"(x3 * ((0.00016626761 - (x0 / sin(-0.5902361))) + (x1 / 0.00016626761))) + (x2 + (x3 * (x0 + x0)))"
21,0.0033061332,"(((0.00016626761 - (x0 / -0.5902361)) + (x1 / 0.00016626761)) * (x3 + -3.9187148)) + (x2 + (x3 * (x0 + x0)))"
22,0.0032952959,"(x3 * ((x1 / (square(x2) + 0.00020380186)) + (x0 + x0))) + ((x3 * (0.00020380186 + (x1 / 0.00020380186))) + x2)"
23,0.0030588068,"(((x0 + ((x1 / 0.00020380186) + x0)) * x3) + (x2 + (x2 + (x3 * (x1 / (0.00020380186 + x2)))))) * 1.2148278"
29,0.0030063016,"(((x0 + (x1 / 0.00020380186)) + x0) * x3) + ((x2 + x2) + (((x0 + (x1 / (0.00020380186 + x2))) + (x1 / (0.00020380186 + x2))) * x3))"
30,0.0029799908,"(((x0 + (x1 / 0.00020380186)) + x0) * x3) + ((x2 + x2) + (((x0 + (x1 / (0.00020380186 + x2))) + (x1 / (0.00020380186 + square(x2)))) * x3))"
