Complexity,Loss,Equation
1,0.0022813492,"0.028984677"
3,0.0022001239,"x3 * 0.00017911237"
4,0.0021872057,"square(x1 * 1.4019782e6)"
5,0.0015882212,"(x1 * 423104.75) + 0.03031965"
7,0.0015677413,"0.02835704 + ((x1 + x1) * 174271.97)"
9,0.0014585186,"x3 * ((x0 + x0) - (x1 * -2537.8743))"
10,0.0012226475,"square(x0 - ((x3 * x1) * -4.919596)) * 1.853492e6"
12,0.0011780987,"square(x0 - (((x3 - -36.849792) * x1) * -4.919596)) * 1.8534929e6"
13,0.0009870486,"square(square(((x1 * -542454.6) - 0.12030039) / (-0.3764912 + (x0 * 387.17108))))"
17,0.0009034566,"square(square(((x1 * -542454.6) - 0.12030039) / (((x2 * -0.7225866) + (x0 * 387.17108)) + -0.3764912)))"
19,0.0009031953,"square(square(((x1 * (-542454.6 - x3)) - 0.12030039) / (((-0.7225866 * x2) + (387.17108 * x0)) + -0.3764912)))"
