Complexity,Loss,Equation
1,0.020145074,"0.20712881"
3,0.013669337,"x2 * 9.388565"
4,0.013071748,"square(x2 / 0.05125886)"
5,0.012164805,"x3 * (x2 * 0.06078975)"
6,0.0112703545,"(x3 - -187.94774) * square(x2)"
7,0.011022366,"(x3 - -92.82442) * (x2 * 0.039726816)"
8,0.010326293,"((square(x2) * x3) - -0.04256467) * 1.6363335"
9,0.010253435,"sin(((square(x2) * x3) - -0.04256467) * 1.6363335)"
10,0.010238872,"sin(sin(((square(x2) * x3) - -0.04256467) * 1.6363335))"
11,0.0102049485,"sin((1.6642803 * (square(x2) * x3)) - -0.08736927) * 0.95694333"
12,0.006995128,"(x3 * ((x3 * (36.20922 * x1)) + square(x2))) - -0.10827132"
14,0.0063450607,"(x3 * (square(x2) + (x3 * (x1 * 31.493093)))) + (x2 - -0.086460546)"
16,0.0056314156,"(((square(x2) * x3) + x2) - -0.09756871) + (x3 * ((x0 + 5327.23) * x1))"
18,0.0055302023,"((square(x2) * x3) + (x2 + (x1 * ((103.61192 - -57.26604) * (46.62774 * x3))))) - -0.09756871"
20,0.0055131344,"(((square(x2) * x3) + x2) + ((x1 * (-1.6311752 + (103.61192 - -57.26604))) * (46.62774 * x3))) - -0.09756871"
24,0.0054160543,"(x2 + ((x2 + 0.07665161) + (x3 * ((square(x2) + (x1 * 3296.8403)) + (x3 * (x1 * 11.226297)))))) - (x1 * -26.965027)"
28,0.005123426,"((x2 + (x2 + 0.078172125)) + ((x3 * square(x2)) + ((x1 * 3296.9067) + ((x3 * x1) * 27.903044)))) - ((x3 * (x1 * -76.0214)) * 76.85691)"
30,0.004780114,"((x2 + (x2 + 0.056803316)) + (x3 * (((square(x2) + (x1 * 3296.8328)) + (x3 * x1)) * 1.2918364))) - (((x3 * 25.850664) * (x1 * -2.1821382)) * 25.850662)"
