Complexity,Loss,Equation
1,0.016691204,"0.20115392"
3,0.0079548955,"x3 * 0.001531062"
4,0.007927148,"sin(x3 * 0.0016078207)"
5,0.0057876143,"(x2 * x3) * 0.06092758"
6,0.00571538,"sin((x2 * x3) * 0.062596135)"
7,0.005416217,"((x3 * 0.05400392) * x2) + 0.036781162"
8,0.005397749,"sin(((x3 * 0.05400392) * x2) + 0.036789462)"
9,0.005392889,"((x3 * (x2 * 0.05400392)) + 0.036806077) / 1.0180135"
11,0.0049793073,"x2 * (((x3 * (x1 - x0)) + 0.073178634) * x3)"
12,0.0049074516,"sin((x2 * ((x3 * (x1 - x0)) + 0.073178634)) * x3)"
14,0.004785218,"sin((x3 * x2) * ((x2 + ((x1 - x0) * x3)) + 0.04668002))"
15,0.0042280876,"((x2 * x3) * ((0.035072383 + ((x1 - x0) * x3)) + x2)) - -0.050692618"
16,0.004162601,"sin((x2 * x3) * ((x2 + 0.04668002) + (((x3 * x1) - x0) * x3)))"
17,0.0035607163,"((((x2 + 0.035072383) + (x3 * ((x3 * x1) - x0))) * x2) * x3) - -0.05067091"
18,0.0035558823,"sin((((x2 + 0.035072383) + (x3 * ((x3 * x1) - x0))) * (x2 * x3)) - -0.050692618)"
20,0.0032196182,"sin(((x2 + ((x3 * (((x3 + x3) * x1) - x0)) + 0.035137944)) * x2) * x3) + 0.050117478"
23,0.0027591588,"(x3 * (((x3 * x1) * 10.8100395) + (((((x1 / -4.0781283) - x0) * x3) + (x2 + 0.03420022)) * x2))) - -0.038787983"
25,0.0023949747,"sin((((x2 * sin((x2 + 0.040058002) + ((x1 - (x0 * x3)) + x1))) + ((x3 * 18.785913) * x1)) * x3) - -0.036818538)"
26,0.0023295372,"sin(sin((((x2 * ((x2 + 0.040058002) + (sin(x1 + (x1 - x0)) * x3))) + ((x3 * 18.785913) * x1)) * x3) - -0.036818538))"
