Complexity,Loss,Equation
1,0.99999994,"9.742169e-5"
2,0.85491097,"sin(x1)"
3,0.81071025,"x1 * 0.43587875"
4,0.80574405,"sin(x1 / 1.7533193)"
5,0.6333175,"(x1 + x0) * 0.42539904"
6,0.62576205,"sin((x0 + x1) * 0.5126951)"
7,0.555856,"((x0 - x2) + x1) * 0.37805766"
10,0.4866484,"(((square(x2) + x0) + x1) * 0.33652267) - 0.300172"
11,0.46381643,"square(square(x2 * 0.44034165)) + ((x0 + x1) * 0.38585666)"
13,0.4495907,"(square(square(0.44034165 * x2)) + ((x0 + x1) * 0.38585666)) - 0.103143655"
15,0.4285409,"((x1 + (-0.63919336 + x0)) * 0.45669106) + square(0.45669106 * (x2 - sin(x1)))"
16,0.3955483,"square((x2 - sin(x1)) * 0.45669106) + sin(((x0 + x1) + -0.63919336) * 0.5049118)"
20,0.39324942,"sin(0.5049118 * ((0.06824928 + ((-0.2286495 + x0) + x1)) + -0.63919336)) + square((x2 - sin(x1)) * 0.45669106)"
24,0.3930253,"sin(((((x2 * 0.19287372) / -1.0991089) - 0.06824928) + ((x0 + x1) + -0.63919336)) * 0.5049118) + square((x2 - sin(x1)) * 0.45669106)"
25,0.39288083,"(square((x2 - sin(x1)) * 0.45669106) + ((0.06824928 - (sin(x1) * 0.19287372)) / -1.0991089)) + sin(((x0 + x1) + -0.63919336) * 0.5049118)"
26,0.3600807,"square((sin(x1) - x2) * 0.47641215) + sin(((x0 + x0) * ((x0 - -0.19636202) * -0.12030712)) + (((x1 + -0.3727431) + x0) * 0.53711843))"
