Complexity,Loss,Equation
1,0.99999994,"2.6715215e-5"
3,0.47173563,"x1 / -1.3767629"
5,0.46908316,"(x3 * 0.2959283) - x1"
6,0.43290213,"sin(x2 * x1) - x1"
7,0.39318043,"((x0 * -0.386727) - x1) * 0.6921985"
8,0.3442695,"((square(x0) + -0.9918106) - x1) * 0.5727546"
9,0.32609823,"square(square(x0 * 0.5710984)) - (x1 * 0.7085175)"
10,0.3061942,"((-0.65956414 - x1) * 0.7136551) + square(x0 * -0.65956414)"
11,0.27633038,"(square(square(x0 * 0.60583884)) - (x1 * 0.7350993)) - 0.24397846"
13,0.26946992,"sin(x2 * x1) - ((x1 + x0) + sin(x0 * -1.2276263))"
15,0.22400936,"((x2 * sin(x1)) - ((sin(-1.2276263 * x0) + x1) + x0)) * 0.8453266"
17,0.1943836,"(((sin(x1) * x2) - x1) / 1.453981) + ((x0 + sin(x0 * -1.2276263)) / -0.8970983)"
18,0.1912665,"((x0 + sin(x0 * -1.2276263)) / -0.8970983) + (((x2 * sin(sin(x1))) - x1) / 1.453981)"
19,0.16949436,"((((x2 + -0.68024135) * sin(x1)) - x1) / 1.5602692) + ((x0 + (sin(x0) * -1.1345304)) / -0.71363676)"
20,0.16764,"(((sin(sin(x1)) * (x2 + -0.68024135)) - x1) / 1.5602692) + ((sin(-1.1345304 * x0) + x0) / -0.71363676)"
21,0.16061687,"(((((x2 + -0.6713896) * sin(x1)) - x1) / 1.5609063) + ((x0 + sin(x0 * -1.306516)) / -1.0200638)) - 0.08430003"
27,0.14810464,"((sin(x0 * -1.2572343) + x0) / -0.69752645) + (sin(sin((x2 + 0.2728136) * sin(x1)) + ((x1 + 0.11612786) * -0.5214745)) - sin(sin(x1)))"
