Complexity,Loss,Equation
1,0.9196661,"x0"
2,0.7037629,"sin(x0)"
3,0.68653524,"sin(sin(x0))"
4,0.6759222,"sin(x0) / 1.2788136"
5,0.6004247,"sin(x0 + sin(x1))"
6,0.5773377,"sin(x0 + (x1 * 0.51957273))"
7,0.57593364,"sin(x0 - sin(x1 / -1.4970708))"
8,0.57244825,"sin(((x1 + -0.22364877) * 0.56666464) + x0)"
9,0.5364406,"sin(x0 - ((square(x0) - x1) / 2.9511797))"
11,0.5194475,"sin(((x1 + x0) + (x0 - square(x0))) * 0.3715987)"
14,0.5093962,"sin(((x1 + ((x0 - 0.3715987) * (x0 * x0))) + x0) * 0.30336776)"
15,0.49961302,"sin(((x0 - ((-0.58976215 - (x0 - square(x0))) - x1)) / 4.545598) * 1.9918027)"
16,0.46357283,"sin((x0 + (((x0 * x0) * (x0 - 0.5235157)) + x1)) * 0.28976485) * 1.3424575"
18,0.44110826,"sin(((x1 + ((((x0 - 1.5512422) * x0) * x0) + x0)) + 0.9316206) * 0.22854033) / 0.59170914"
20,0.43802443,"(sin(((x1 + ((x0 - 1.5430237) * (x0 * x0))) + (x0 + 1.3426604)) * 0.24766335) / 0.6366711) + -0.15430275"
