Complexity,Loss,Equation
1,0.9999997,"-2.8602624e-5"
3,0.77795124,"x0 * 0.47296923"
4,0.69393575,"x0 - sin(x0)"
5,0.6046837,"square(square(x0)) * -0.17086448"
6,0.57055235,"x0 * (square(x0) * 0.29480082)"
7,0.47813258,"(square(square(x0)) - 1.911514) * -0.19633922"
8,0.47809258,"(square(x0 * x0) * -0.24594022) - -0.4124829"
9,0.44146186,"0.3304272 - (square(square(x0) * x0) * 0.06307404)"
11,0.30303586,"0.33758068 - (square((square(x0) * x0) + x1) * 0.06307404)"
13,0.28747705,"0.33758068 + ((x2 - square((x0 * square(x0)) + x1)) * 0.06307404)"
