Complexity,Loss,Equation
1,0.78454745,"x0"
2,0.758102,"sin(x0)"
3,0.6306695,"x0 * 0.6068598"
5,0.5075435,"(x0 + x1) * 0.48296103"
6,0.5015792,"sin((x1 + x0) * 0.5853293)"
7,0.4842449,"x1 + ((x0 - x1) * 0.60176873)"
8,0.48126873,"x0 + sin(sin(x1) - sin(x0))"
9,0.4574274,"((sin(x1) - sin(x0)) * 0.7211851) + x0"
10,0.3507036,"((x1 - (square(x0) - x0)) + 1.0004314) * 0.4167039"
14,0.35061607,"(1.0004314 + (x1 - (square(x0) - (1.4699616 * (x0 / 1.6186625))))) * 0.4167039"
16,0.3257703,"((((sin(x2) * (x0 * (x0 + -1.0448804))) / x2) - x1) * -0.43197435) + 0.3547758"
18,0.3162002,"((((sin(x2) * x0) * ((x0 + -0.73997605) / x2)) - (x1 * 0.678022)) * -0.5356833) + 0.45703492"
21,0.315674,"sin(0.4746587) + (-0.5356833 * ((((sin(x2) * ((-0.84901273 - -0.093564875) + x0)) / x2) * x0) - (x1 * 0.678022)))"
22,0.3154601,"((((x0 * x0) + (x0 * -0.6358842)) * ((sin(x2) * -0.73872054) / (x2 / x0))) - (x1 + 0.65750265)) * -0.38987583"
24,0.30760068,"((((((x0 + -1.1104933) / ((1.056205 / (x0 * (x0 + -1.4480735))) * x2)) * sin(x2)) * -0.3767899) - x1) * -0.4256814) + 0.377077"
28,0.3042306,"((x0 * -0.04280047) + ((((x0 * ((x0 - (sin(x0) * sin(x0))) * -0.73872054)) * sin(x2)) / (x2 / x0)) - (x1 + 0.65750265))) * -0.38987583"
