Complexity,Loss,Equation
1,0.9999999,"4.3221025e-5"
3,0.49960908,"x1 / -1.4114575"
6,0.45060223,"(x1 * -0.3492432) - sin(x1)"
7,0.43553486,"((x0 * -0.33714432) - x1) * 0.7078207"
8,0.3885769,"((x1 + x0) * -0.28943458) - sin(x1)"
9,0.38663077,"((x1 + x0) * -0.26865986) - sin(sin(x1))"
10,0.37058955,"((x2 - (x0 + x1)) / 4.856479) - sin(x1)"
12,0.36048624,"((0.17001729 * x2) - ((x0 + x1) / 3.147484)) - sin(x1)"
13,0.33127087,"-0.3749864 - (sin((x1 / 1.182663) - square(x0 * -0.5703099)) * 1.7203329)"
14,0.30494824,"sin((x2 * sin(x1)) - ((x0 + x1) / 3.147484)) - sin(x1)"
15,0.29593572,"sin(sin(x2 * sin(x1)) - ((x1 + x0) / 2.3780172)) - sin(x1)"
16,0.2797478,"sin((((x2 * sin(x1)) - x1) / 1.4675803) - (square(x0) * -0.24156986)) * 1.5531013"
17,0.24600963,"sin(((sin(x2 * x1) - x1) / 1.391103) - (square(square(x0)) * -0.09768432)) * 2.084371"
19,0.17145112,"(sin((((x2 * sin(x1)) - x1) / 1.7117479) - (-0.13091889 * square(square(x0)))) * 1.9232298) - 0.2571788"
21,0.17141277,"((sin((((x2 * sin(x1)) - x1) / 1.7117479) - (-0.13091889 * square(square(x0)))) * 1.9232298) - 0.2571788) + -0.0013002317"
24,0.16521284,"1.8762833 * (sin(sin((((((sin(x1) * x2) * 0.7229845) - x1) / 1.2893074) - -0.062501326) - (square(square(x0)) * -0.09784034))) - 0.16769306)"
25,0.1558224,"(sin(sin(sin(((((sin(x1) * x2) * 0.7229845) - x1) / 1.3518087) - (square(square(x0)) * -0.09784034))) * 1.3279107) * 1.8762833) - 0.22816679"
