Complexity,Loss,Equation
1,1.0,"0.0"
3,0.48289967,"x1 * -0.72145647"
5,0.48289704,"(x1 * 0.28260556) - x1"
6,0.41950417,"sin(x2 * x1) - x1"
7,0.38195348,"sin(x2 * sin(x1)) - x1"
8,0.33953774,"((x2 * sin(x1)) - x1) * 0.7091093"
9,0.32299966,"sin(x2 * sin(x1)) - (x1 * 0.7091093)"
10,0.31414658,"(x2 + -1.9950559) * sin(sin(sin(x1 * 0.7213547)))"
11,0.30266657,"(sin(sin(x1)) * (x2 + -0.70170724)) - (x1 / 1.9036797)"
12,0.29393277,"(sin(sin(sin(x1))) * (x2 + -0.70170724)) - (x1 / 1.9036797)"
13,0.28959396,"(sin(sin(sin(sin(x1)))) * (x2 + -0.8643055)) - (x1 / 2.1025248)"
14,0.28804427,"(sin(sin(sin(sin(sin(x1))))) * (-0.9674773 + x2)) - (x1 / 2.2061338)"
15,0.28672388,"(((x2 + 0.31175286) * sin(x1 - sin(x1 * x2))) - x1) / 1.3558233"
16,0.2753624,"(((x2 + -1.3627588) * sin(sin(x1) - sin(x1 * x2))) - x1) / 2.2061338"
21,0.26606363,"(((x2 + -1.3627588) * sin(x1 - sin(((x1 + x2) * sin(sin(x1))) * 1.8186533))) - x1) / 2.2625651"
25,0.26456994,"(((x2 + -1.3627588) * sin(x1 - sin(((x1 + x2) * sin(sin(x1))) * 1.8186533))) - x1) / ((x2 - x2) + 2.2061338)"
