Complexity,Loss,Equation
1,0.9999999,"-1.905486e-5"
2,0.8241839,"sin(x0)"
3,0.6499878,"0.590233 * x0"
4,0.6340492,"x0 - sin(x0)"
5,0.5755486,"(x0 + x1) * 0.4515823"
6,0.4449144,"(square(x0) * x0) * 0.33873257"
8,0.33986583,"(x1 + (x0 * square(x0))) * 0.33229196"
10,0.31187642,"(((x0 * square(x0)) + x1) * 0.34964043) + 0.15784764"
12,0.31076604,"(((x0 * (square(x0) + -0.419184)) + x1) * 0.34964043) + 0.15784764"
13,0.29414952,"(x1 + (((x0 * square(x0)) - sin(x0)) + 0.5190056)) * 0.4333646"
15,0.27217448,"(((x0 * -0.07460088) + 0.24723916) * ((x0 * (x0 * x0)) + x1)) + 0.30255675"
17,0.25679857,"(((x1 + ((x0 * (x0 * x0)) + 1.2270237)) * (x0 - 2.3760633)) / -8.577504) - 0.0097220875"
