Complexity,Loss,Equation
1,1.0,"3.5452675e-5"
3,0.47173542,"x1 / -1.376277"
5,0.46946764,"(x0 * -0.2870821) - x1"
6,0.43640652,"sin(x1 / -1.5904819) * 1.6441138"
7,0.39695013,"((x1 + x0) + x1) * -0.34475037"
8,0.38269925,"square(x0 * 0.6672345) - (x1 - -0.4517705)"
9,0.326422,"(square(square(x0 * -0.61857736)) - x1) * 0.73690814"
10,0.3081316,"square(x0 * -0.6231603) - ((x1 * 0.74041873) - -0.35296184)"
11,0.27816558,"(square(square(x0 * -0.6601263)) - (x1 - -0.3926949)) * 0.75275606"
12,0.26842532,"(-0.39496806 - sin(sin(x1))) + ((square(x0) - x1) * 0.41624945)"
13,0.25265893,"((((x2 * sin(x1)) + square(x0)) - x1) * 0.68135333) + -0.64451057"
14,0.23705326,"((square(x0) + ((sin(sin(x1)) * x2) - x1)) * 0.6077201) + -0.573148"
15,0.23257883,"(((((x2 * x1) - x1) + square(x0)) * 0.39431283) + -0.33103853) - sin(x1)"
16,0.17669179,"((sin(x2 * x1) + ((square(x0) - x1) * 0.39431283)) + -0.33103853) - sin(x1)"
17,0.14153187,"((((square(x0) - x1) * 0.39431283) + sin(sin(x1) * x2)) + -0.33103853) - sin(x1)"
18,0.13430178,"((((square(x0) - x1) * 0.39431283) + sin(sin(x1) * x2)) + -0.33103853) - sin(sin(x1))"
21,0.13383499,"(sin(sin(x2 * sin(sin(x1)))) + ((square(x0) - x1) * 0.39431283)) + (-0.33103853 - sin(sin(sin(x1))))"
22,0.1330498,"(sin(x2 * sin(sin(sin(x1)))) + ((square(x0) - x1) * 0.39431283)) + (-0.33103853 - sin(sin(sin(sin(x1)))))"
26,0.12817845,"((((square(x0) - x1) * 0.39431283) + sin(sin(x2 * sin(sin(x1))))) + (-0.33103853 - sin(sin(sin(sin(sin(sin(x1)))))))) * 1.0865018"
