Complexity,Loss,Equation
1,0.99999994,"3.4339128e-6"
3,0.9106142,"x0 * 0.2955626"
4,0.8690608,"sin(x0) * 0.4926725"
5,0.8539464,"sin(sin(x0 * 1.8698176))"
6,0.8064163,"sin(x0 * sin(square(x0)))"
7,0.80223,"sin(sin(square(x0) / sin(x0)))"
8,0.77413255,"(-1.2212132 * sin(-1.7118262 - x0)) * x0"
9,0.7690223,"x0 * sin(sin(-1.7118262 - x0) * -1.2764263)"
10,0.7657317,"sin(sin(square(x0) / sin(sin(x0))) + -0.30363044)"
11,0.75369936,"sin(x0 + ((x0 * (-0.1164127 - x0)) / square(1.4101593)))"
12,0.74513936,"sin(sin(sin((square(x0) / sin(x0)) + (x1 * 0.2957649))))"
14,0.7035572,"sin((x1 * 0.23232076) - (((1.763591 - x0) + 0.1167814) * (x0 * -0.51386875)))"
16,0.7026828,"sin((0.23232076 * x1) - ((((-2.0793114 * -0.7343876) - (x0 - 0.23657055)) * x0) * -0.51386875))"
27,0.6963801,"sin((square(-0.20456304 + sin(x0)) / sin(sin(square(-0.20456304 + x0)) / sin(sin(sin(sin(-0.20456304 + sin(x0))))))) + (x1 * sin(0.2957649)))"
