Complexity,Loss,Equation
1,0.8777802,"x0"
3,0.6851559,"x0 * 0.5606045"
4,0.567881,"0.99761224 - square(x0)"
5,0.55392146,"square(square(x0)) * -0.22478582"
6,0.45658547,"x0 * square(x0 * 0.58008516)"
7,0.37254474,"(-0.2247895 * square(square(x0))) + 0.41586372"
9,0.35218218,"((square(square(x0)) * x0) * 0.12399097) - -0.24898629"
11,0.35218063,"(((x0 * square(square(x0))) * 0.12399097) - -0.24898629) - -0.0031539367"
12,0.3496478,"(((x0 * -2.2839699) + (sin(x0) * 2.905189)) * x0) + 0.20446876"
14,0.2723217,"x0 * (sin(((-0.37568736 * x1) + 1.8381715) * x0) + (x0 * -0.5007521))"
16,0.25563288,"x0 * ((x0 * -0.5007521) + sin((((x1 - 0.3603072) * -0.37568736) + 1.8381715) * x0))"
18,0.25260267,"(x0 * ((x0 * -0.5007521) + sin((((x1 - 0.3603072) * -0.37568736) + 1.8381715) * x0))) + 0.0692287"
19,0.2505726,"(x0 * ((x0 * -0.5007521) + sin(sin((((x1 - 0.3603072) * -0.37568736) + 1.8381715) * x0)))) + 0.0692287"
21,0.24871103,"((x0 * ((-0.5007521 * x0) + sin(sin((1.8381715 + ((x1 - 0.3603072) * -0.37568736)) * x0)))) - -0.1560439) - 0.042488158"
25,0.24863753,"x0 * ((x0 * -0.4540012) + sin(sin(sin(0.27881017) + ((1.9276087 * sin(x0 * (((x1 - 0.27881017) * -0.45610517) + 1.721705))) - -0.11017008))))"
28,0.23952088,"x0 * (sin(sin(((1.8381715 + ((0.3603072 - x1) * -0.37568736)) * sin(((-0.37568736 * (x1 - 0.3603072)) + 1.8381715) * x0)) - -0.1560439)) + (-0.37568736 * x0))"
30,0.23919962,"x0 * ((sin(-0.46236795) * x0) + sin(sin((((1.8381715 + 0.3603072) - (x1 * -0.37568736)) * sin(sin((1.8381715 + ((x1 - 0.3603072) * -0.37568736)) * x0))) - -0.1560439)))"
