Complexity,Loss,Equation
1,0.9106272,"x1"
2,0.688366,"sin(x1)"
4,0.55433774,"sin(x1 + x0)"
5,0.44989765,"(x0 + x1) * 0.52059764"
6,0.42074585,"sin((x0 + x1) / 1.5319164)"
8,0.39559466,"sin((x0 + x1) * 0.5433663) / 0.7492224"
10,0.3842338,"sin(sin(x1) + sin(x0 - (x1 * -0.4810164)))"
11,0.3729211,"sin(((x0 + x1) - sin(x1 * -1.7495766)) * 0.6709596)"
12,0.36886537,"sin(((x1 + x0) - sin(sin(x1 * -1.4886892))) * 0.6412299)"
13,0.35362208,"sin(((x1 - (x2 * sin(x1))) + x0) * 0.5433663) * 1.3402089"
14,0.35183316,"1.23482 * sin(((x1 + x0) - sin(sin(x1 * -1.4886892))) * 0.5433663)"
15,0.32267976,"sin((x1 + (x0 - ((x2 - 1.23482) * sin(x1)))) * 0.5170204) * 1.23482"
17,0.3038508,"sin((x0 + (x1 - sin(((x2 - x0) * x1) - x1))) * 0.5433663) * 1.3402089"
18,0.28710118,"sin(((x1 + x0) * 0.5433663) - sin(sin(x1) * (x2 - (x0 + 1.023712)))) * 1.23482"
20,0.28691408,"sin(((x1 + x0) * 0.5433663) - sin(sin(x1) * ((x2 / 1.1303122) - (x0 + 1.023712)))) * 1.23482"
