Complexity,Loss,Equation
1,0.9999997,"0.00019219049"
3,0.7779484,"x0 * 0.4715978"
4,0.6939357,"x0 - sin(x0)"
5,0.67649174,"x0 - sin(sin(x0))"
6,0.570659,"(square(x0) * x0) * 0.3059414"
7,0.5180757,"x0 - (x0 * sin(square(x0)))"
8,0.472877,"(1.9788601 - x1) * (x0 - sin(x0))"
9,0.46760154,"(square(x0) - x1) * (x0 - sin(x0))"
10,0.44119945,"(1.9788601 - x1) * (x0 - sin(x0 - 0.085813634))"
11,0.3933665,"((square(x0) - x1) * (x0 - sin(x0))) + 0.38361937"
12,0.37636527,"(((0.7679671 - x0) - x1) * (x0 - sin(x0))) - -0.24441804"
14,0.36884347,"((0.7183398 - (x1 - (0.016396258 - x0))) * (x0 - sin(x0))) - -0.31762934"
16,0.36741954,"(((0.011151712 - x1) - (x0 - 0.88108635)) * (x0 - sin(x0 - 0.011151712))) - -0.35986683"
19,0.36336225,"((x0 - sin(x0 - 0.011151712)) * ((0.011151712 - x1) - (x0 - (0.88108635 - sin(x2))))) - -0.35986683"
21,0.352115,"((x0 - sin(x0 - 0.011151712)) * (((0.011151712 - x1) + 0.58981216) - (x0 - sin(0.88108635 - x2)))) - -0.35986683"
22,0.33394152,"((x0 - sin(x0)) * ((square(x3 * -0.35986683) + (0.011151712 - x1)) - (x0 - sin(0.88108635 - x2)))) - -0.35986683"
24,0.33356562,"((x0 - sin(x0 - 0.011151712)) * ((square(x3 * -0.35986683) + (0.011151712 - x1)) - (x0 - sin(0.88108635 - x2)))) - -0.35986683"
26,0.33342403,"((x0 - sin((x0 - 0.011151712) - 0.011151712)) * (((square(x3 * -0.35986683) + 0.011151712) - x1) - (x0 - sin(0.88108635 - x2)))) - -0.35986683"
