Complexity,Loss,Equation
1,0.99999994,"4.4670443e-7"
3,0.47868788,"x1 * -0.72095287"
5,0.46424067,"(x0 * -0.27768677) - x1"
6,0.4404507,"sin(x1 / 1.6592247) * -1.6807029"
7,0.38338202,"(x0 * -0.31848794) + (x1 * -0.7165617)"
9,0.3347597,"(square(square(x0) / -2.5787377) - x1) / 1.3772988"
10,0.32230327,"((x0 * -0.17164704) * square(x0)) + (x1 * -0.64244264)"
11,0.29213092,"(square(square(x0) / -2.5787377) - (x1 / 1.3772988)) - 0.35691768"
12,0.28844064,"(square((x0 * 0.39219382) * x0) + -0.29479036) + (x1 * -0.6936283)"
13,0.27374196,"(((x1 * -0.34694412) + square(x0 / -1.534506)) + -0.40528026) - sin(x1)"
14,0.2518621,"square(square(x0 / 1.6462207)) + ((x1 * -0.3493965) + (-0.3167192 - sin(x1)))"
17,0.24012688,"(((((x2 + -1.3759335) * x1) + square(x0)) / 3.349211) + -0.27892685) - sin(sin(sin(x1)))"
18,0.22000541,"((((x2 + -1.3759335) * x1) + square(x0 + -0.25914195)) / 3.349211) + sin(-0.27892685 - sin(x1))"
19,0.21442427,"(((((x2 + -1.3759335) * x1) + square(x0 + -0.25914195)) / 3.349211) + -0.27892685) - sin(sin(sin(x1)))"
21,0.21399651,"((((((x2 + -1.3759335) * x1) + square(x0 + -0.25914195)) / 3.349211) + -0.27892685) - sin(sin(sin(x1)))) * 0.9817616"
28,0.2053693,"(square((((-0.6562483 / ((-3.6047225 - x0) + 0.43203717)) - x0) / -3.6047225) * x0) + ((x1 / 9.055303) * (x2 + -3.6047225))) - sin(sin(x1) + 0.22926241)"
